,Date
1910,4880
1900,4626
1960,4148
1970,3212
1880,3083
1890,3051
1870,3030
1950,2658
1980,2590
1920,2251
1930,2213
1940,2107
1860,1725
1990,1699
2000,1362
1820,1157
1810,1009
1830,932
1630,913
2010,907
1790,699
1800,690
1850,656
1780,638
1620,617
1750,578
1770,564
1640,543
1520,499
1760,453
1510,439
1610,416
1840,357
1600,339
1530,328
1740,306
1500,286
1560,249
1540,242
1590,223
1550,213
1570,210
1490,179
1580,170
1730,131
1480,119
1470,93
1430,88
1720,73
2020,63
1460,56
1440,54
1710,53
1450,42
1700,9
1420,9
1410,6
1670,3
1680,1
1660,1
1690,1
