epoch,decade_output_accuracy,decade_output_loss,decade_output_top3_acc,decade_output_top5_acc,loss,style_output_accuracy,style_output_loss,style_output_top3_acc,style_output_top5_acc,val_decade_output_accuracy,val_decade_output_loss,val_decade_output_top3_acc,val_decade_output_top5_acc,val_loss,val_style_output_accuracy,val_style_output_loss,val_style_output_top3_acc,val_style_output_top5_acc
0,0.049909256398677826,0.13951599597930908,0.1437680870294571,0.22656594216823578,0.3865979313850403,0.05780644342303276,0.24708214402198792,0.1640506237745285,0.26151469349861145,0.08326180279254913,0.07300210744142532,0.23656652867794037,0.3660658001899719,0.2420956790447235,0.09384835511445999,0.16909372806549072,0.2540200352668762,0.3924463391304016
1,0.08686908334493637,0.08107171952724457,0.23490460216999054,0.35267573595046997,0.2649161219596863,0.08483347296714783,0.18384432792663574,0.23085789382457733,0.35507920384407043,0.10065808147192001,0.07204774022102356,0.26615163683891296,0.39467811584472656,0.23944804072380066,0.09413447976112366,0.16740038990974426,0.2624892592430115,0.3978254795074463
2,0.10558199137449265,0.07622894644737244,0.2750527262687683,0.39944571256637573,0.24978813529014587,0.10509148240089417,0.17355923354625702,0.2747829556465149,0.4158041775226593,0.12091559171676636,0.06820382177829742,0.3050071597099304,0.43519312143325806,0.2272481769323349,0.13590843975543976,0.1590443253517151,0.3316165804862976,0.4719313383102417
3,0.11806543171405792,0.07315405458211899,0.29756706953048706,0.4273311495780945,0.2398887723684311,0.12093491107225418,0.16673456132411957,0.314048171043396,0.4610045552253723,0.1255507916212082,0.06777618825435638,0.3205150067806244,0.4526466429233551,0.22363556921482086,0.14494992792606354,0.15585939586162567,0.35679543018341064,0.49985694885253906
4,0.12642860412597656,0.07111348956823349,0.31483298540115356,0.4480796456336975,0.23288609087467194,0.13155442476272583,0.16177259385585785,0.341688334941864,0.49335360527038574,0.1175965666770935,0.07110355794429779,0.2884120047092438,0.4064091444015503,0.23630769550800323,0.12137339264154434,0.16520410776138306,0.31095850467681885,0.4588268995285034
5,0.13079413771629333,0.0695168599486351,0.32400548458099365,0.4571295380592346,0.2271455079317093,0.14673566818237305,0.15762870013713837,0.36658164858818054,0.5239613652229309,0.11771101504564285,0.06845265626907349,0.3046638071537018,0.43622317910194397,0.2275814414024353,0.1229756772518158,0.15912878513336182,0.3288698196411133,0.4815450608730316
6,0.13633687794208527,0.06851983070373535,0.33109334111213684,0.4675283133983612,0.22355684638023376,0.1601756066083908,0.15503697097301483,0.3883111774921417,0.5466473698616028,0.14798283576965332,0.06541959941387177,0.3474678099155426,0.48515021800994873,0.21489779651165009,0.1707582324743271,0.14947821199893951,0.4065808355808258,0.5711588263511658
7,0.14033453166484833,0.06778856366872787,0.3384264409542084,0.4781968891620636,0.22040942311286926,0.170378178358078,0.15262101590633392,0.4048413336277008,0.5633246898651123,0.12417739629745483,0.06831131875514984,0.30855506658554077,0.442117303609848,0.22556592524051666,0.14615164697170258,0.15725453197956085,0.35462087392807007,0.5013447999954224
8,0.141217440366745,0.06721334159374237,0.34769704937934875,0.4889390170574188,0.21788528561592102,0.1796242743730545,0.1506720334291458,0.420145183801651,0.5804434418678284,0.15341916680335999,0.064289391040802,0.3629184663295746,0.5039771199226379,0.21033187210559845,0.19628040492534637,0.14604245126247406,0.4428612291812897,0.6042918562889099
9,0.15014469623565674,0.06671632826328278,0.350689172744751,0.49440819025039673,0.21613912284374237,0.18759503960609436,0.14942291378974915,0.43115711212158203,0.5877029299736023,0.15261802077293396,0.06450510025024414,0.3652074337005615,0.5074105858802795,0.20871682465076447,0.2050357609987259,0.14421167969703674,0.4522460699081421,0.60829758644104
